trying pull small 1 0.00182481751825
trying push bigger 1 0.00182481751825
trying push small 1 0.00182481751825
trying smaller smaller 1 0.00182481751825
trying stretch vertex 1 0.00182481751825
trying taunt red 1 0.00182481751825
turn blue object 1 0.00182481751825
using virtue size 1 0.00182481751825
vertex again gone 1 0.00182481751825
vertex rotating red 1 0.00182481751825
vertices semi closed 1 0.00182481751825
vertices touched triangles 1 0.00182481751825
very forcefully bigger 1 0.00182481751825
very reluctant even 1 0.00182481751825
very reluctant moving 1 0.00182481751825
very slowly big 1 0.00182481751825
virtue size blue 1 0.00182481751825
waiting ahead very 1 0.00182481751825
waiting smaller triangle 1 0.00182481751825
want remain box 1 0.00182481751825
ways bigger gone 1 0.00182481751825
ways seem playing 1 0.00182481751825
win big object 1 0.00182481751825
within space bigger 1 0.00182481751825
work tries move 1 0.00182481751825
big triangle trying 2 0.0036496350365
bigger triangle trying 2 0.0036496350365
box smaller triangle 2 0.0036496350365
object both fighting 2 0.0036496350365
outside box smaller 2 0.0036496350365
outside smaller triangle 2 0.0036496350365
red triangle outside 2 0.0036496350365
small triangle outside 2 0.0036496350365
smaller roaming outside 2 0.0036496350365
smaller triangle seems 2 0.0036496350365
triangle inner square 2 0.0036496350365
triangle outside bigger 2 0.0036496350365
triangle pushing smaller 2 0.0036496350365
triangle roaming around 2 0.0036496350365
triangle still inside 2 0.0036496350365
trying push outside 2 0.0036496350365
trying push smaller 2 0.0036496350365
vertex red triangle 2 0.0036496350365
bigger triangle seems 3 0.00547445255474
outside box bigger 3 0.00547445255474
push smaller triangle 3 0.00547445255474
pushing smaller triangle 4 0.00729927007299
triangle trying push 4 0.00729927007299
box bigger triangle 5 0.00912408759124
triangle outside box 5 0.00912408759124
smaller triangle outside 7 0.0127737226277
